입력 문장,도수,술 종류,맛,tokens
달달한 술을 마시고 싶어.,높은,알 수 없음,달달한,"['ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
도수가 중간인 술을 추천해줘.,중간,알 수 없음,알 수 없음,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
도수가 낮은인 매끄러운 럼를 마셔보고 싶어요.,낮은,럼,부드러운,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '[UNK]', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
부드러운 맛이 나는 술을 추천해줘.,낮은,알 수 없음,부드러운,"['ᄇ', '##ᅮ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅥ', '##ᄋ', '##ᅮ', '##ᆫ', '[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
"마실 위스키를 찾고 있어요. 소프트한이고, 중간 도수면 좋겠어요.",중간,위스키,부드러운,"['ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', '[UNK]', '[UNK]', '[UNK]', '.', 'ᄉ', '##ᅩ', '##ᄑ', '##ᅳ', '##ᄐ', '##ᅳ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', ',', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄆ', '##ᅧ', '##ᆫ', '[UNK]', '.']"
"마실 럼를 찾고 있어요. 매끄러운이고, 낮은 도수면 좋겠어요.",낮은,럼,부드러운,"['ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.', '[UNK]', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄆ', '##ᅧ', '##ᆫ', '[UNK]', '.']"
"중간 도수의 칵테일를 추천해주세요, 상큼한으로!오늘은 중간 도수의 상큼한 칵테일를 마셔야겠어.칵테일를 마시고 싶어요. 상큼한이고 도수는 중간가 좋아요.상큼한 칵테일 한 잔 어때? 도수는 중간로!가볍게 마실 수 있는 중간 도수의 상큼한 칵테일를 찾고 있어요.중간 도수의 칵테일 중에 상큼한인 걸 추천해주세요.친구랑 마실 상큼한 칵테일, 중간 도수로 부탁해요.도수 중간인 상큼한 칵테일를 마셔보고 싶은 기분이에요.상큼한 칵테일가 필요해요. 도수는 중간가 좋겠어요.오늘의 추천 칵테일는 중간 도수의 상큼한 걸로 해주세요.상큼한 칵테일 중에서 도수가 중간인 게 궁금하네요.중간 도수로 마실 만한 상큼한 칵테일, 알려줘.요즘 중간 도수의 상큼한 칵테일에 빠졌어요.도수가 중간이고 상큼한 칵테일, 괜찮을까요?상큼한 칵테일가 끌리는데, 도수는 중간로 골라줘.중간 도수의 상큼한 칵테일 한 잔 생각나네요.칵테일 추천해줘! 상큼한이고 도수는 중간로.",중간,칵테일,신맛,"['ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄉ', '##ᅦ', '##ᄋ', '##ᅭ', ',', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅳ', '##ᄅ', '##ᅩ', '!', 'ᄋ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '.', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄀ', '##ᅡ', '[UNK]', '.', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄌ', '##ᅡ', '##ᆫ', '[UNK]', '?', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄅ', '##ᅩ', '!', 'ᄀ', '##ᅡ', '##ᄇ', '##ᅧ', '##ᆸ', '##ᄀ', '##ᅦ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄉ', '##ᅮ', '[UNK]', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄀ', '##ᅥ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄉ', '##ᅦ', '##ᄋ', '##ᅭ', '.', 'ᄎ', '##ᅵ', '##ᆫ', '##ᄀ', '##ᅮ', '##ᄅ', '##ᅡ', '##ᆼ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', ',', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', 'ᄇ', '##ᅮ', '##ᄐ', '##ᅡ', '##ᆨ', '##ᄒ', '##ᅢ', '##ᄋ', '##ᅭ', '.', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', 'ᄀ', '##ᅵ', '##ᄇ', '##ᅮ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄋ', '##ᅦ', '##ᄋ', '##ᅭ', '.', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄀ', '##ᅡ', 'ᄑ', '##ᅵ', '##ᆯ', '##ᄋ', '##ᅭ', '##ᄒ', '##ᅢ', '##ᄋ', '##ᅭ', '.', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄀ', '##ᅡ', '[UNK]', '.', 'ᄋ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆯ', '##ᄋ', '##ᅴ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄀ', '##ᅥ', '##ᆯ', '##ᄅ', '##ᅩ', 'ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄉ', '##ᅦ', '##ᄋ', '##ᅭ', '.', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄀ', '##ᅦ', 'ᄀ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᄂ', '##ᅦ', '##ᄋ', '##ᅭ', '.', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', ',', 'ᄋ', '##ᅡ', '##ᆯ', '##ᄅ', '##ᅧ', '##ᄌ', '##ᅯ', '.', 'ᄋ', '##ᅭ', '##ᄌ', '##ᅳ', '##ᆷ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄋ', '##ᅦ', '[UNK]', '.', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', ',', '[UNK]', '?', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄀ', '##ᅡ', '[UNK]', ',', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄅ', '##ᅩ', 'ᄀ', '##ᅩ', '##ᆯ', '##ᄅ', '##ᅡ', '##ᄌ', '##ᅯ', '.', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄌ', '##ᅡ', '##ᆫ', 'ᄉ', '##ᅢ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆨ', '##ᄂ', '##ᅡ', '##ᄂ', '##ᅦ', '##ᄋ', '##ᅭ', '.', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '!', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄅ', '##ᅩ', '.']"
높은 도수로 소프트한 보드카를 마셔보고 싶어요.,높은,보드카,부드러운,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', 'ᄉ', '##ᅩ', '##ᄑ', '##ᅳ', '##ᄐ', '##ᅳ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
위스키 추천해줄래?,알 수 없음,위스키,알 수 없음,"['[UNK]', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᆯ', '##ᄅ', '##ᅢ', '?']"
나는 낮은 도수의 산뜻한 럼을 마시고 싶어.,낮은,럼,상큼한,"['ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
"마실 럼를 찾고 있어요. 쌉쌀한이고, 중간 도수면 좋겠어요.",중간,럼,쓴맛,"['ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.', 'ᄊ', '##ᅡ', '##ᆸ', '##ᄊ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', ',', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄆ', '##ᅧ', '##ᆫ', '[UNK]', '.']"
"중간 도수의 산뜻한 럼, 추천할 만한 거 있어?",중간,럼,상큼한,"['ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄅ', '##ᅥ', '##ᆷ', ',', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄀ', '##ᅥ', '[UNK]', '?']"
"오늘 상큼한 보드카를 마시고 싶어, 도수는 중간로.",중간,보드카,신맛,"['ᄋ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆯ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄅ', '##ᅩ', '.']"
"지금 프레시한 칵테일가 마시고 싶은데, 중간 도수가 좋아.",중간,칵테일,상큼한,"['ᄌ', '##ᅵ', '##ᄀ', '##ᅳ', '##ᆷ', 'ᄑ', '##ᅳ', '##ᄅ', '##ᅦ', '##ᄉ', '##ᅵ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄀ', '##ᅡ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '.']"
높은 도수로 프레시한 위스키를 마셔보고 싶어요.,높은,위스키,상큼한,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', 'ᄑ', '##ᅳ', '##ᄅ', '##ᅦ', '##ᄉ', '##ᅵ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
"오늘 매끄러운 칵테일를 마시고 싶어, 도수는 중간로.",중간,칵테일,부드러운,"['ᄋ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆯ', '[UNK]', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄅ', '##ᅩ', '.']"
낮은 도수로 매끄러운 보드카를 마셔보고 싶어요.,낮은,보드카,부드러운,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', '[UNK]', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
"마실 보드카를 찾고 있어요. 매끄러운이고, 낮은 도수면 좋겠어요.",낮은,보드카,부드러운,"['ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.', '[UNK]', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄆ', '##ᅧ', '##ᆫ', '[UNK]', '.']"
낮은 도수의 톡 쏘는 칵테일 한 잔 어때?,낮은,칵테일,신맛,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄐ', '##ᅩ', '##ᆨ', 'ᄊ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄌ', '##ᅡ', '##ᆫ', '[UNK]', '?']"
매끄러운 보드카 중에서 도수 중간인 게 궁금해요.,중간,보드카,부드러운,"['[UNK]', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄀ', '##ᅦ', 'ᄀ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅢ', '##ᄋ', '##ᅭ', '.']"
"오늘 소프트한 위스키를 마시고 싶어, 도수는 높은로.",높은,위스키,부드러운,"['ᄋ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆯ', 'ᄉ', '##ᅩ', '##ᄑ', '##ᅳ', '##ᄐ', '##ᅳ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', '[UNK]', '.']"
"마실 위스키를 찾고 있어요. 스위트한이고, 중간 도수면 좋겠어요.",중간,위스키,달달한,"['ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', '[UNK]', '[UNK]', '[UNK]', '.', '[UNK]', ',', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄆ', '##ᅧ', '##ᆫ', '[UNK]', '.']"
나는 낮은 도수의 프레시한 칵테일을 마시고 싶어.,낮은,칵테일,상큼한,"['ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄑ', '##ᅳ', '##ᄅ', '##ᅦ', '##ᄉ', '##ᅵ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
산뜻한 보드카 중에서 낮은 도수의 것을 추천해줘.,낮은,보드카,상큼한,"['[UNK]', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
